UserId,DaysSinceLastPurchase,DayOfWeek,Hour,OrdersCount,TotalSpent,AveragePurchaseValue,PurchaseFreq,PreferedProduct,TotalItemsPurchased,OrderSize,LT,IsChurned,Cluster
245,2,Saturday,15,2,371.9,185.95,0.9230769230769228,47,13,6.5,35,False,2.0
246,3,Sunday,15,1,792.0,792.0,1.0,74,24,12.0,0,False,2.0
247,3,Sunday,15,16,11039.62,689.97625,1.5635179153094465,103,98,2.9696969696969697,277,False,-1.0
248,3,Sunday,1,2,2235.88,1117.94,2.0,5,4,1.0,0,False,3.0
249,3,Saturday,8,6,5874.92,979.1533333333333,1.161290322580645,4,10,1.1111111111111112,125,False,3.0
250,3,Sunday,13,1,359.58,359.58,1.0,2,1,1.0,0,False,0.0
251,3,Friday,13,3,951.18,317.06,1.7307692307692306,97,3,1.0,22,False,3.0
252,3,Friday,12,3,1822.4,607.4666666666667,1.5254237288135593,13,53,3.533333333333333,29,False,3.0
253,3,Sunday,13,2,990.0,495.0,0.8,20,12,6.0,45,False,2.0
254,3,Sunday,13,1,792.0,792.0,1.0,7,24,12.0,0,False,2.0
255,3,Sunday,13,2,633.76,316.88,1.3953488372093024,44,2,1.0,13,False,0.0
256,3,Sunday,12,1,878.76,878.76,1.0,28,16,4.0,0,False,0.0
257,3,Sunday,12,1,1563.9,1563.9,1.0,9,2,1.0,0,False,0.0
258,3,Sunday,12,1,1401.1799999999996,1401.1799999999996,1.0,23,10,5.0,0,False,0.0
259,3,Monday,23,9,7061.4,784.5999999999998,2.014925373134328,47,230,11.5,104,False,-1.0
260,3,Saturday,11,2,406.0,203.0,0.4444444444444444,72,3,1.5,105,False,1.0
261,3,Sunday,11,3,1262.26,420.7533333333333,0.5882352941176471,4,3,1.0,123,False,1.0
262,3,Sunday,11,1,852.0,852.0,1.0,32,1,1.0,0,False,0.0
263,3,Sunday,11,1,720.0,720.0,1.0,36,24,12.0,0,False,2.0
264,3,Friday,10,3,1416.76,472.2533333333333,1.232876712328767,10,3,1.0,43,False,0.0
265,3,Sunday,10,1,852.0,852.0,1.0,32,1,1.0,0,False,0.0
266,3,Sunday,10,1,805.74,805.74,1.0,10,2,1.0,0,False,0.0
267,3,Tuesday,12,12,40837.3,3403.1083333333336,1.1009174311926606,95,16,1.0,297,False,-1.0
268,3,Sunday,12,4,1513.7,378.425,0.9302325581395348,20,18,3.6,99,False,1.0
269,3,Friday,20,14,9534.62,681.0442857142857,1.0909090909090908,24,17,1.1333333333333333,355,False,-1.0
270,3,Monday,9,2,4162.940000000001,2081.4700000000007,0.5042016806722689,76,3,1.0,89,False,1.0
